RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
VH,H,VH,VL,VL,VL,M,zero,zero,building_float
M,H,H,M,M,L,VL,zero,zero,building_float
VL,H,H,H,H,L,VL,zero,zero,building_float
M,M,VH,L,L,M,L,zero,zero,building_float
M,M,H,L,H,M,VL,zero,zero,building_float
VL,VL,H,H,H,VH,VL,zero,VH,building_float
M,M,H,VL,H,H,L,zero,zero,building_float
M,L,H,VL,VH,M,L,zero,zero,building_float
H,VH,H,M,VL,M,L,zero,zero,building_float
M,L,H,M,H,M,L,zero,M,building_float
VL,VL,M,H,VH,VH,VL,zero,H,building_float
M,VL,VH,L,H,H,M,zero,zero,building_float
VL,L,M,M,VH,VH,VL,zero,H,building_float
M,L,H,L,VH,M,L,zero,H,building_float
M,VL,H,M,VH,H,M,zero,zero,building_float
M,VL,H,L,VH,H,L,zero,zero,building_float
M,VL,VH,L,H,H,M,zero,zero,building_float
VH,VH,VH,VL,VL,L,H,zero,zero,building_float
H,H,VH,L,L,VL,H,zero,zero,building_float
M,L,H,H,M,M,L,zero,L,building_float
M,VL,H,H,M,M,M,zero,H,building_float
H,VH,VH,VL,VL,VL,H,zero,zero,building_float
M,VL,H,L,M,H,M,zero,zero,building_float
M,VL,H,M,H,H,M,zero,zero,building_float
L,M,M,L,M,M,L,zero,zero,building_float
M,L,H,L,H,VH,M,zero,zero,building_float
M,M,M,M,L,H,L,zero,zero,building_float
L,L,M,M,H,M,L,zero,zero,building_float
M,VL,M,M,H,M,M,zero,zero,building_float
M,L,M,L,M,H,M,zero,zero,building_float
M,VL,H,M,H,H,M,zero,M,building_float
M,VL,M,VL,VH,M,M,zero,zero,building_float
M,VL,M,L,H,H,M,L,H,building_float
M,VL,M,M,VH,H,M,zero,L,building_float
M,VL,H,M,H,M,M,zero,zero,building_float
VL,M,M,L,M,M,M,zero,zero,building_float
H,H,M,M,VL,M,M,L,zero,building_float
M,VL,M,M,H,VH,M,zero,zero,building_float
VH,VH,VH,VL,VL,L,H,zero,zero,building_float
VH,VH,VH,VL,VL,L,H,zero,zero,building_float
M,VL,M,VL,H,VH,M,zero,zero,building_float
M,VL,M,L,VH,H,M,zero,zero,building_float
M,M,M,M,M,H,M,zero,zero,building_float
VH,H,VH,VL,VL,L,VH,zero,zero,building_float
M,VL,M,L,H,H,M,zero,VH,building_float
H,H,M,M,VL,M,H,zero,zero,building_float
H,M,L,L,M,M,H,zero,M,building_float
VH,H,VH,VL,VL,VL,VH,zero,L,building_float
VH,M,VH,VL,VL,L,VH,zero,zero,building_float
H,H,L,L,VL,H,H,zero,zero,building_float
VH,H,VH,VL,VL,L,VH,zero,M,building_float
H,M,L,L,L,H,H,zero,M,building_float
M,M,L,L,M,M,H,zero,zero,building_float
H,L,L,L,M,M,H,zero,zero,building_float
M,M,L,L,H,M,H,zero,L,building_float
M,VL,L,L,VH,M,H,zero,H,building_float
VL,L,M,VL,H,H,L,zero,VH,building_float
H,L,M,L,H,H,L,zero,zero,building_float
M,H,VH,L,H,H,VL,zero,zero,building_float
M,M,VH,L,M,M,L,zero,M,building_float
H,H,H,VL,L,L,M,zero,zero,building_float
H,H,H,M,VL,L,M,H,zero,building_float
VH,H,VH,VL,VL,L,H,zero,M,building_float
VH,VH,VH,VL,VL,VL,VH,zero,zero,building_float
VH,H,VH,VL,VL,L,VH,zero,L,building_float
VH,H,H,VL,VL,L,H,zero,zero,building_float
VH,L,VH,VL,L,L,VH,zero,H,building_float
VH,L,VH,VL,L,L,VH,zero,H,building_float
VH,L,H,VL,L,L,VH,zero,M,building_float
VH,M,H,VL,VL,L,VH,zero,L,building_float
VL,VH,VH,H,VL,L,VL,zero,M,building_nonfloat
H,H,VH,L,VL,M,L,zero,VH,building_nonfloat
VL,L,H,H,H,VH,VL,zero,zero,building_nonfloat
L,M,H,H,M,H,VL,zero,zero,building_nonfloat
VL,L,H,H,H,VH,VL,zero,zero,building_nonfloat
VL,L,H,H,H,VH,VL,zero,zero,building_nonfloat
L,M,H,H,L,VH,VL,zero,zero,building_nonfloat
VL,L,H,H,M,H,VL,zero,zero,building_nonfloat
VL,H,M,L,M,L,VL,zero,M,building_nonfloat
VL,VL,M,VH,M,VH,VL,zero,zero,building_nonfloat
VL,L,M,VH,L,VH,VL,zero,zero,building_nonfloat
VL,M,M,M,VH,H,VL,zero,zero,building_nonfloat
L,M,H,L,M,VH,VL,zero,zero,building_nonfloat
VL,L,M,H,M,VH,VL,zero,L,building_nonfloat
VL,VH,L,VH,L,VH,VL,zero,zero,building_nonfloat
VL,M,H,H,M,L,L,zero,zero,building_nonfloat
VL,M,M,M,VH,L,VL,zero,zero,building_nonfloat
L,M,M,H,L,VH,VL,zero,L,building_nonfloat
VL,L,M,M,M,H,L,zero,zero,building_nonfloat
L,VL,M,VH,VH,VH,VL,zero,L,building_nonfloat
H,L,VH,VL,L,VH,H,zero,H,building_nonfloat
VL,L,M,M,H,L,L,zero,zero,building_nonfloat
VL,L,M,H,VH,VL,L,zero,H,building_nonfloat
VL,M,L,M,H,L,L,zero,zero,building_nonfloat
VL,VL,L,H,VH,VH,L,zero,zero,building_nonfloat
H,M,M,M,L,M,M,zero,zero,building_nonfloat
H,L,H,VL,L,VH,H,zero,M,building_nonfloat
M,VL,L,L,VH,H,H,zero,H,building_nonfloat
L,VL,L,H,VH,VH,M,zero,zero,building_nonfloat
M,L,L,M,M,H,H,L,zero,building_nonfloat
L,VL,L,M,VH,M,H,L,H,building_nonfloat
L,VL,L,H,M,VH,H,zero,zero,building_nonfloat
H,VL,L,VL,VH,L,H,zero,H,building_nonfloat
VH,H,L,VL,VL,VL,VH,zero,zero,building_nonfloat
VH,H,L,L,VL,VL,VH,zero,zero,building_nonfloat
VH,VL,VL,VH,L,VH,VH,zero,VH,building_nonfloat
VH,VL,VL,VH,VL,H,VH,VH,VH,building_nonfloat
VH,VL,VL,VL,VL,L,VH,zero,H,building_nonfloat
VH,VH,VL,VL,M,L,VH,zero,L,building_nonfloat
H,H,VL,VL,VH,VL,VH,zero,zero,building_nonfloat
VH,VL,VL,VL,VH,VL,VH,zero,zero,building_nonfloat
VH,VL,VL,VL,H,VL,VH,zero,zero,building_nonfloat
VH,VL,VL,VL,VL,VL,VH,zero,zero,building_nonfloat
H,H,VH,L,L,M,L,zero,M,building_nonfloat
H,L,VH,L,L,H,L,zero,zero,building_nonfloat
H,M,VH,M,L,M,L,zero,zero,building_nonfloat
H,M,VH,M,L,M,L,zero,L,building_nonfloat
L,H,VH,VH,VL,VH,VL,zero,zero,building_nonfloat
L,M,VH,H,L,VH,VL,zero,VH,building_nonfloat
L,H,H,M,L,VH,VL,zero,zero,building_nonfloat
H,M,VH,M,L,H,L,zero,zero,building_nonfloat
L,L,H,H,H,VH,VL,zero,H,building_nonfloat
L,M,H,M,M,M,VL,zero,zero,building_nonfloat
L,H,M,H,L,H,VL,zero,zero,building_nonfloat
VH,M,VH,L,M,M,M,zero,zero,building_nonfloat
H,L,VH,H,L,H,M,zero,M,building_nonfloat
L,L,H,L,M,M,M,zero,zero,building_nonfloat
VH,H,L,M,VL,L,VH,zero,H,building_nonfloat
VH,H,L,H,L,M,H,L,H,building_nonfloat
H,H,L,H,VL,L,VH,zero,H,building_nonfloat
VH,H,L,M,L,L,VH,zero,zero,building_nonfloat
VH,H,VL,M,VL,L,VH,zero,L,building_nonfloat
H,M,VH,L,L,H,L,zero,zero,building_nonfloat
M,H,VH,H,VL,M,L,zero,M,building_nonfloat
M,M,VH,L,M,M,L,zero,zero,building_nonfloat
M,M,VH,M,L,M,L,zero,VH,building_nonfloat
M,L,VH,VL,H,M,L,zero,M,building_nonfloat
L,L,H,H,H,H,VL,zero,zero,building_nonfloat
L,VL,M,H,VH,VH,VL,zero,zero,building_nonfloat
L,L,H,H,H,VH,VL,zero,zero,building_nonfloat
L,M,H,H,L,VH,VL,zero,zero,building_nonfloat
H,M,H,VL,M,M,L,L,H,building_nonfloat
L,VL,M,M,H,VH,L,L,VH,building_nonfloat
L,L,M,VH,M,VH,L,zero,zero,building_nonfloat
L,L,L,L,H,H,H,zero,H,building_nonfloat
H,VL,VH,L,L,H,M,zero,VH,building_nonfloat
M,H,VH,VL,M,L,M,zero,zero,vehicle_float
VL,M,M,M,M,M,L,zero,zero,vehicle_float
L,M,H,M,M,M,L,zero,L,vehicle_float
L,VL,M,M,M,M,M,zero,zero,vehicle_float
L,L,M,VH,L,H,L,zero,H,vehicle_float
VH,VH,VH,VL,VL,VL,H,zero,zero,vehicle_float
M,H,VH,VL,H,VL,H,zero,zero,vehicle_float
VL,M,M,L,M,H,L,zero,zero,vehicle_float
L,L,H,M,L,H,H,zero,zero,vehicle_float
L,L,M,L,H,M,M,zero,zero,vehicle_float
L,M,M,L,L,M,M,zero,zero,vehicle_float
VH,VH,VH,VL,VL,L,VH,zero,zero,vehicle_float
M,H,M,H,VL,H,H,zero,zero,vehicle_float
M,H,L,H,VL,M,H,zero,L,vehicle_float
H,M,L,H,L,M,H,zero,zero,vehicle_float
H,H,H,VL,L,L,H,L,H,vehicle_float
VH,VH,VH,VL,VL,L,H,zero,VH,vehicle_float
VL,H,L,VH,VL,VH,VL,VH,zero,vehicle_nonfloat
H,VL,L,VH,M,H,VH,zero,zero,vehicle_nonfloat
VH,VL,L,H,M,L,VH,zero,zero,vehicle_nonfloat
VH,VL,L,H,VH,H,VH,zero,zero,vehicle_nonfloat
H,VL,VL,H,VH,L,VH,zero,zero,vehicle_nonfloat
L,L,VL,VH,VH,VH,VH,zero,zero,vehicle_nonfloat
H,M,VL,VH,H,L,VH,zero,zero,vehicle_nonfloat
VH,M,VL,H,L,L,VH,zero,zero,vehicle_nonfloat
VL,L,VL,VH,VL,VH,VL,zero,zero,vehicle_nonfloat
VL,L,VL,VH,VL,VH,VL,zero,zero,vehicle_nonfloat
VH,M,VL,M,L,L,VH,zero,zero,vehicle_nonfloat
VH,VL,L,VH,L,VH,VH,L,VH,vehicle_nonfloat
VH,L,VL,H,VH,L,VH,zero,VH,vehicle_nonfloat
H,H,L,H,L,VL,H,zero,zero,containers
H,H,L,L,M,VL,VH,zero,zero,containers
H,VH,L,H,L,VL,H,zero,zero,containers
H,VH,L,H,M,VL,H,zero,zero,containers
VL,VH,L,H,VH,VL,VL,zero,zero,containers
H,VH,L,H,L,VL,VH,zero,zero,containers
H,VH,VL,VH,M,VL,VH,zero,zero,containers
H,VH,VL,VL,VH,VL,VH,zero,zero,containers
VL,VH,VL,VL,VH,VL,VL,zero,zero,containers
VL,H,L,VH,M,VH,VL,H,zero,headlamps
H,VH,L,VH,VL,VH,VL,VH,zero,headlamps
VH,M,L,L,L,H,H,zero,zero,headlamps
VH,VH,L,VH,VL,VH,VH,zero,zero,headlamps
VH,VH,L,M,VL,L,M,VH,zero,headlamps
VL,H,L,VH,H,VL,M,H,zero,headlamps
VL,VH,VL,VH,VH,VL,M,M,L,headlamps
VL,VH,VL,VH,VH,VL,H,L,L,headlamps
L,VH,VL,VH,H,VL,M,VH,L,headlamps
L,VH,VL,VH,VH,VL,M,H,L,headlamps
VL,VH,VL,VH,VH,VL,H,M,L,headlamps
VL,H,VL,VH,VH,L,H,H,L,headlamps
L,VH,VL,VH,VH,VL,H,M,zero,headlamps
VL,VH,VL,VH,H,VL,H,M,zero,headlamps
VL,VH,VL,VH,H,VL,H,M,zero,headlamps
VL,VH,VL,VH,VH,VL,L,M,zero,headlamps
L,VL,VL,L,VH,VH,H,zero,zero,headlamps
VL,VH,VL,VH,VH,VL,L,M,zero,headlamps
L,VH,VL,VH,H,VL,L,VH,zero,headlamps
VL,VH,VL,VH,VH,VL,M,M,zero,headlamps
L,VH,VL,VH,H,VL,M,H,zero,headlamps
L,VH,VL,VH,H,VL,M,H,zero,headlamps
H,VH,VL,VH,M,VH,VL,VH,zero,headlamps
L,VH,VL,VH,M,VL,H,M,zero,headlamps
VL,VH,VL,VH,L,VL,H,H,zero,headlamps
L,VH,VL,VH,H,VL,L,VH,zero,headlamps
VH,VH,VL,VH,VH,VL,L,VH,zero,headlamps
L,VH,VL,VH,VH,VL,M,H,zero,headlamps
L,VH,VL,VH,VH,VL,M,VH,zero,headlamps
