surgery,age,rectal_temp,pulse,respiratory_rate,temp_extremities,peripheral_pulse,mucous_membranes,capillary_refill,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_protein,cp_data,outcome
2,1,Q3,Q3,Q2,3,3,?,2,5,4,4,?,?,?,3,5,Q3,Q3,?,?,2,died
1,1,Q4,Q3,Q2,?,?,4,1,3,4,2,?,?,?,4,2,Q3,Q4,2,Q1,2,died
2,1,Q3,Q1,Q2,1,1,3,1,3,3,1,?,?,?,1,1,Q1,Q2,?,?,1,died
1,9,Q4,Q4,Q4,4,1,6,2,2,4,4,1,2,Q2,3,?,Q3,Q2,3,Q4,1,lived
2,1,Q1,Q4,Q3,?,?,6,2,?,?,?,?,?,?,?,?,Q4,Q2,?,?,2,died
2,1,?,?,?,2,1,3,1,2,3,2,2,1,?,3,3,?,?,?,?,2,died
1,1,Q2,Q1,Q1,1,1,1,1,3,3,3,1,1,?,3,5,Q1,Q2,?,?,2,lived
1,1,?,Q2,?,3,?,?,1,?,4,2,2,1,?,3,4,Q2,Q3,?,?,2,lived
2,1,?,Q3,Q3,3,4,3,1,4,4,4,2,1,?,3,5,Q2,Q1,?,?,2,lived
2,9,Q3,Q4,?,1,?,1,1,5,3,1,2,1,?,3,?,Q2,Q1,1,Q3,1,died
1,1,Q2,Q3,Q1,3,3,5,1,3,3,1,2,1,Q1,2,5,Q2,Q1,2,Q3,1,lived
2,1,Q4,Q3,Q4,2,?,2,1,2,1,2,1,1,?,4,4,Q3,Q3,?,?,2,lived
1,1,Q1,Q1,Q1,2,1,1,1,3,3,3,3,1,?,4,5,?,Q2,?,?,2,died
2,9,Q2,Q4,Q2,1,1,2,1,1,3,2,3,?,Q4,1,1,Q1,Q1,1,?,1,died
1,1,Q3,Q3,Q2,3,1,1,1,3,4,1,2,2,?,4,4,Q3,Q4,1,Q1,2,lived
1,1,Q1,Q4,Q4,3,1,4,1,5,3,3,2,3,Q2,4,?,Q3,Q2,?,?,2,lived
1,9,?,Q4,Q3,3,3,4,2,4,4,3,3,?,?,4,5,Q4,Q3,3,Q4,1,died
2,1,Q1,Q1,Q2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,died
1,1,Q1,Q3,Q2,1,1,2,1,2,3,1,1,1,?,2,5,Q2,Q2,1,?,1,lived
2,1,Q4,Q4,Q3,4,3,6,?,?,3,3,?,?,?,?,?,Q4,Q3,?,?,2,died
1,1,Q4,Q3,Q4,1,1,5,2,5,4,4,3,1,?,4,4,Q3,Q1,2,?,2,lived
2,1,Q3,Q1,Q1,1,?,1,1,1,3,1,2,3,Q3,4,3,Q3,Q2,?,?,2,died
1,1,Q4,Q1,Q3,2,1,4,?,2,3,1,?,?,?,1,?,Q3,Q2,?,?,2,lived
1,9,Q3,Q4,Q4,?,3,?,1,2,4,?,?,?,?,?,?,Q3,Q4,?,?,2,lived
1,1,Q2,Q2,Q1,3,3,3,1,?,4,3,3,2,Q1,?,?,Q3,Q4,?,?,2,lived
2,1,Q1,Q2,Q4,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,2,died
1,1,Q3,Q3,Q3,4,3,3,2,3,3,3,2,1,?,3,5,Q2,Q2,2,Q3,1,lived
1,1,Q1,Q1,Q1,3,1,1,1,?,3,2,1,1,?,1,3,Q1,Q1,2,Q1,1,died
1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,died
2,1,Q1,Q1,?,2,1,1,1,1,1,1,1,1,?,?,?,Q3,Q4,?,?,2,died
2,1,Q1,Q4,Q3,3,3,4,2,5,4,4,3,2,Q2,4,5,Q4,Q2,?,?,2,lived
2,1,Q1,Q4,Q1,3,3,4,2,2,4,2,?,3,Q3,3,3,Q3,Q3,3,Q4,1,lived
1,1,Q1,Q2,?,2,1,1,1,3,3,3,2,1,?,4,5,Q2,Q2,?,?,2,lived
1,1,Q3,Q3,Q2,1,1,1,1,3,1,?,?,?,?,4,4,Q3,Q3,2,Q4,1,lived
1,1,?,Q4,Q3,3,3,4,2,5,4,4,3,3,?,4,4,Q3,Q2,?,?,2,lived
2,1,?,Q4,Q2,4,3,3,2,4,4,3,?,3,?,?,2,Q4,Q3,?,?,2,lived
2,1,Q3,Q4,Q1,?,3,5,2,?,?,1,1,2,?,?,5,Q3,Q1,2,Q1,1,died
1,1,Q1,Q3,?,?,3,?,1,5,3,1,?,1,?,1,1,Q4,Q4,1,Q1,2,lived
2,1,Q4,Q2,?,1,1,1,1,3,3,2,1,1,?,1,3,Q1,Q2,1,Q4,1,died
1,9,Q4,Q4,Q4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,lived
1,1,?,Q3,?,3,3,6,2,5,3,3,1,3,?,4,5,Q4,Q1,3,?,2,lived
2,9,Q4,Q4,Q4,?,?,?,?,?,?,?,?,?,?,?,?,Q3,Q3,?,Q1,1,lived
2,1,Q2,Q2,Q1,3,1,3,1,3,3,1,1,1,?,2,2,Q3,Q2,?,?,2,died
1,1,?,Q4,?,3,4,4,1,4,4,4,1,1,?,?,5,Q3,Q4,2,Q1,2,lived
1,1,Q1,Q4,Q2,3,3,4,2,4,4,?,2,1,?,?,5,Q4,Q4,3,Q1,2,lived
2,1,?,Q4,?,4,3,4,2,5,4,4,1,1,?,4,5,Q4,Q1,3,?,2,lived
1,1,Q2,Q2,Q1,3,?,4,2,5,4,4,2,2,?,4,5,Q4,Q2,?,?,1,lived
2,1,Q1,Q1,Q1,1,1,1,1,1,1,1,1,1,?,1,?,Q1,Q1,?,?,2,died
1,1,Q4,Q3,Q4,3,3,3,2,2,3,3,2,2,Q4,3,1,Q4,Q1,3,?,2,lived
2,1,Q1,Q3,Q4,3,3,5,2,4,1,2,1,2,?,2,1,Q4,Q1,2,Q4,1,died
2,1,Q4,Q1,?,1,1,2,1,1,3,2,1,1,?,?,2,Q3,Q3,1,Q1,1,died
1,1,Q1,Q3,Q3,1,?,3,2,3,3,2,?,?,?,4,5,?,?,3,?,1,lived
2,1,?,?,?,1,1,3,1,1,3,1,?,?,?,2,2,Q2,Q3,?,?,2,died
2,1,Q4,Q1,Q2,?,?,?,1,?,?,?,?,?,?,?,?,Q2,Q1,?,?,1,died
2,1,Q4,Q4,Q3,3,3,1,2,2,3,3,2,1,Q4,1,5,Q4,Q3,3,Q4,1,lived
1,9,Q4,Q4,Q2,3,?,5,1,3,3,4,3,?,?,4,?,Q2,?,2,?,1,lived
1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Q1,Q2,?,?,2,lived
1,1,?,Q3,Q3,2,?,2,1,5,3,3,2,2,?,?,?,Q2,Q3,?,?,2,lived
1,1,?,?,Q2,4,3,3,?,5,4,3,2,?,?,4,4,Q4,Q1,3,?,1,lived
2,1,?,Q4,?,3,3,3,2,5,4,4,1,2,?,4,5,Q4,?,?,?,2,lived
2,1,Q1,Q1,Q3,1,1,3,1,2,1,?,1,1,?,4,5,Q1,Q2,?,?,2,died
2,1,Q3,Q2,?,2,2,1,1,1,2,2,2,1,?,1,1,Q2,Q3,?,?,2,died
1,1,Q1,Q3,Q2,2,1,2,1,3,?,?,2,?,?,4,?,Q4,Q3,1,Q4,1,lived
2,1,Q3,Q4,Q1,4,3,4,2,2,4,4,1,1,?,?,?,Q4,Q4,2,Q1,2,died
1,1,Q4,Q3,Q3,3,1,4,2,3,3,2,1,2,Q4,4,5,Q2,Q2,3,Q4,1,lived
1,1,?,Q2,Q3,3,1,3,1,3,3,2,1,1,?,3,4,Q1,Q4,2,Q1,2,lived
2,1,Q2,Q3,?,1,1,5,2,3,3,1,1,3,Q1,3,4,Q4,Q4,1,Q1,2,lived
2,1,Q3,Q2,Q2,1,1,1,1,1,3,1,2,1,?,3,2,Q3,Q2,1,?,1,died
2,1,?,Q2,Q1,1,?,3,1,?,?,?,2,3,Q3,?,?,Q4,Q2,?,?,2,died
2,1,Q2,Q1,Q1,1,1,1,1,1,3,?,1,1,?,3,2,Q2,Q1,2,Q4,1,died
2,1,Q1,Q2,Q2,3,?,?,1,3,?,3,2,2,Q2,4,4,Q2,Q3,?,?,1,lived
1,1,Q1,Q1,Q2,1,1,1,1,1,2,1,2,?,?,1,1,Q3,Q1,2,Q4,1,died
1,1,Q1,Q2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,lived
1,1,Q2,Q2,Q2,1,1,5,1,4,3,1,2,3,Q4,1,?,Q4,Q2,2,Q3,1,lived
1,9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Q1,Q1,?,?,2,lived
1,9,Q4,Q4,?,3,3,5,2,2,3,?,?,?,?,?,?,Q3,Q3,2,Q1,2,lived
1,1,Q1,Q1,Q2,3,3,1,1,3,3,2,?,?,?,3,?,Q1,Q4,?,?,2,lived
2,1,Q4,Q2,Q2,2,?,1,1,1,1,1,1,1,?,1,1,Q1,Q4,?,?,2,died
1,1,?,?,?,3,3,3,3,5,3,3,3,2,?,4,5,Q3,Q1,?,?,2,lived
1,1,Q1,Q4,Q1,1,3,6,2,3,4,2,2,3,Q2,?,4,Q4,Q3,3,?,1,lived
1,1,Q1,Q4,Q3,3,3,4,1,4,3,2,?,?,?,4,4,Q3,Q1,3,Q3,1,lived
1,1,Q1,Q1,?,?,3,1,1,2,3,2,3,1,?,3,5,Q1,?,3,Q1,2,lived
1,9,Q2,Q4,Q4,3,1,2,1,3,4,1,?,?,?,1,?,Q1,Q1,?,?,2,lived
1,1,Q2,?,Q2,3,3,6,2,5,?,4,1,1,?,?,?,Q4,Q3,?,?,2,lived
1,1,Q1,Q2,Q4,1,3,2,2,2,3,3,?,2,Q3,4,?,Q2,Q1,2,?,1,lived
2,1,Q2,Q2,Q3,2,3,3,3,3,1,2,2,2,?,?,4,Q3,Q1,?,?,2,died
1,1,?,Q3,Q4,3,3,4,2,5,4,3,3,?,?,4,5,Q3,Q3,3,Q1,1,lived
2,1,?,Q1,Q1,?,?,?,1,?,?,?,?,?,?,?,?,Q3,Q2,2,Q3,1,lived
2,1,Q4,Q3,Q4,1,1,5,1,3,3,2,2,1,?,3,3,Q2,Q2,2,Q3,1,died
2,1,Q3,Q1,Q1,1,1,1,1,1,1,1,?,?,?,?,?,Q2,Q4,?,?,2,died
2,1,Q2,Q2,Q1,?,?,?,?,2,?,?,?,3,Q1,1,1,Q4,Q4,?,?,2,lived
2,1,Q4,Q4,Q3,3,3,1,2,2,3,3,2,1,Q4,1,5,Q4,Q3,3,Q4,1,lived
2,1,Q4,Q2,Q2,3,1,1,1,1,1,1,2,1,?,3,1,Q2,Q1,?,?,2,died
2,1,?,?,?,3,3,1,1,5,3,3,1,1,?,4,5,Q2,Q1,?,?,2,lived
2,1,Q1,Q1,Q3,4,1,3,1,?,2,1,1,1,?,1,1,Q3,Q3,?,?,2,died
1,1,Q1,Q1,Q2,?,1,2,1,3,3,3,2,1,?,3,5,Q2,Q4,?,?,2,lived
2,1,?,Q3,Q3,?,?,3,1,?,3,1,2,1,?,3,2,Q2,Q3,?,?,2,lived
1,1,Q2,Q3,Q3,3,3,4,1,2,3,3,?,3,Q1,4,5,Q4,Q4,?,?,2,died
2,1,Q1,Q1,Q4,2,1,3,1,1,3,2,1,1,?,1,5,Q2,Q4,?,?,2,died
2,1,Q4,Q4,Q4,3,3,6,2,2,4,3,1,2,?,3,5,Q4,Q3,2,Q3,1,died
1,1,Q3,Q1,Q1,3,3,1,1,1,3,?,?,?,?,1,1,Q1,Q4,?,?,2,died
1,1,?,Q2,Q2,4,3,4,2,5,4,?,?,1,?,4,5,?,?,?,?,2,lived
2,1,Q3,Q1,Q1,3,?,1,1,2,?,?,?,?,?,?,?,Q1,Q3,?,?,2,died
1,9,Q2,Q4,Q4,1,1,1,1,3,3,2,?,?,?,2,1,Q2,Q1,?,?,2,lived
1,1,Q1,Q2,Q2,1,3,3,1,4,4,1,2,3,Q3,2,5,Q3,Q2,1,Q3,2,lived
1,1,?,Q3,Q3,1,?,3,2,2,3,2,2,?,?,4,5,Q1,Q2,?,?,2,lived
1,1,Q3,Q2,Q4,?,3,3,1,?,?,?,1,1,?,1,?,Q2,Q1,?,?,1,lived
2,1,Q1,Q2,Q3,1,1,3,1,1,3,2,?,?,?,1,?,Q2,Q2,?,?,2,died
1,1,Q4,Q2,Q3,4,3,2,2,4,4,4,?,?,?,4,5,Q4,Q4,3,Q1,2,lived
1,9,Q3,Q3,Q4,3,3,2,1,3,3,3,1,1,?,?,?,Q1,Q2,2,Q3,1,lived
1,1,?,Q3,Q1,3,4,5,2,2,3,2,2,1,?,4,5,Q4,Q2,?,?,2,lived
1,1,Q3,Q1,Q1,3,?,?,1,1,3,2,?,?,?,?,?,Q2,Q3,1,Q1,2,lived
1,1,?,Q1,?,2,1,1,1,1,3,1,1,1,?,?,5,Q2,Q3,?,?,2,lived
1,1,Q1,Q2,Q2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Q4,1,lived
1,1,Q3,Q1,Q2,3,?,4,?,5,4,3,2,1,?,4,5,Q3,Q4,?,?,2,lived
2,1,?,?,Q4,3,1,1,1,3,3,2,?,?,?,?,?,Q3,Q4,?,?,2,died
1,1,Q2,Q1,Q1,1,1,1,1,3,3,3,2,1,?,4,5,Q2,Q4,?,?,2,lived
2,1,Q4,?,?,3,3,4,2,3,4,3,?,3,Q3,4,5,?,Q2,1,?,2,lived
1,1,Q1,Q3,Q3,1,?,1,1,5,3,1,?,1,?,?,?,Q1,Q4,2,Q1,2,lived
2,1,Q2,Q2,Q2,2,1,2,1,1,3,1,1,1,?,?,?,Q3,Q4,?,?,2,died
1,1,Q4,Q2,Q4,1,1,2,1,2,3,2,1,1,?,3,4,Q2,Q1,2,?,1,lived
1,1,Q3,Q3,Q4,?,?,6,2,4,3,1,?,2,?,1,4,Q4,Q3,2,Q1,2,lived
2,1,Q4,Q1,Q2,2,1,1,1,3,1,1,?,?,?,1,?,Q2,Q4,1,Q1,2,died
1,1,Q3,Q3,Q2,1,1,3,1,4,4,3,2,1,?,4,4,Q3,Q2,1,Q1,1,lived
2,1,Q1,Q1,Q2,3,1,4,1,1,1,3,2,1,?,1,1,Q1,Q1,?,?,2,lived
1,1,Q2,Q1,Q4,4,1,1,1,3,3,2,2,2,?,4,4,Q2,Q3,?,?,2,lived
1,1,Q4,?,?,3,1,3,1,5,4,2,?,?,?,?,?,Q1,Q1,2,?,2,lived
1,1,Q1,Q2,Q3,3,3,?,1,4,4,1,2,1,?,1,?,Q3,Q3,2,Q1,1,lived
1,1,Q1,Q3,Q2,?,?,3,1,2,3,3,?,?,?,?,?,Q1,Q4,?,Q1,2,died
1,1,Q3,Q2,?,?,?,1,1,?,?,1,2,1,?,?,?,Q2,Q3,?,?,2,lived
1,1,Q1,Q1,Q1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,lived
2,1,Q1,Q3,Q3,3,1,1,1,3,3,2,1,3,Q1,?,?,Q2,Q1,?,?,2,lived
?,1,Q2,Q1,Q2,3,1,3,1,4,3,1,2,1,?,3,5,Q2,Q4,2,Q1,2,lived
2,1,Q2,Q1,Q2,1,1,1,1,2,3,1,?,?,?,?,3,Q2,Q1,?,?,2,lived
1,1,?,Q4,?,3,?,4,2,5,4,?,2,?,?,2,?,Q4,Q1,?,?,2,lived
1,9,Q2,Q4,Q4,3,3,3,1,5,1,3,2,2,Q2,2,?,Q1,Q1,2,Q3,1,lived
1,1,?,?,?,3,3,3,2,5,3,3,3,2,?,4,5,Q3,Q1,?,?,2,lived
1,1,Q2,Q1,?,1,1,1,1,1,2,4,2,2,?,4,5,?,?,?,?,2,lived
2,1,Q2,Q2,?,1,2,3,1,1,1,1,1,1,?,1,1,Q2,Q4,?,?,2,died
2,1,Q2,Q2,Q3,1,1,?,1,3,3,?,1,1,?,?,?,Q3,Q2,1,Q1,2,died
1,1,Q2,Q1,Q1,3,1,1,1,2,2,1,1,1,?,4,5,Q1,Q2,?,?,2,died
2,1,Q1,Q1,Q3,?,?,5,1,?,?,?,?,?,?,?,?,Q4,Q2,?,?,2,died
1,1,?,Q4,?,4,3,6,2,5,4,4,?,?,?,4,5,Q4,Q1,3,Q3,1,lived
1,1,Q1,Q1,Q2,1,1,1,2,1,2,1,2,?,?,1,1,Q3,Q1,2,Q4,1,died
1,1,Q1,Q3,Q4,3,3,6,1,2,4,4,3,2,Q1,4,5,Q4,Q4,?,?,2,died
2,1,?,Q3,Q3,3,3,2,1,2,3,3,2,1,?,3,?,Q3,Q4,?,?,2,lived
1,1,Q3,Q1,?,1,3,3,1,3,4,4,1,3,Q1,4,5,Q2,Q4,?,?,2,lived
2,1,Q2,Q1,Q1,2,1,3,1,3,4,3,1,2,Q3,1,4,Q1,Q1,?,?,2,lived
1,1,Q3,Q4,?,?,3,6,2,2,4,2,2,3,Q3,4,4,Q4,Q3,?,Q4,1,lived
2,1,Q4,Q1,Q2,?,?,?,?,1,1,?,1,1,?,1,?,Q1,Q4,?,?,2,died
2,1,Q4,Q1,Q1,3,1,1,1,2,3,2,?,?,?,?,2,Q1,Q4,?,?,2,died
1,1,Q4,?,?,4,3,6,2,4,4,2,1,3,Q2,4,4,Q4,?,3,Q4,1,lived
1,1,?,Q4,?,3,3,4,2,?,4,4,2,1,Q1,?,?,Q4,Q4,3,Q1,2,lived
2,1,Q4,Q1,Q2,3,1,1,1,1,3,2,2,1,?,3,2,Q3,Q2,1,?,1,died
2,1,Q4,Q1,Q4,1,1,3,1,3,3,4,2,?,?,?,5,Q2,Q4,?,?,2,lived
2,1,Q2,Q1,Q2,3,3,4,1,1,4,2,2,?,Q2,?,2,Q3,Q3,1,?,1,died
2,1,Q4,Q2,Q2,1,1,1,1,3,3,2,1,1,?,1,3,Q1,Q2,1,Q4,1,died
1,1,Q1,Q2,Q2,1,?,3,2,?,4,4,2,3,Q1,?,5,Q3,Q4,?,?,2,lived
2,1,Q2,Q1,Q4,3,1,1,1,3,3,1,?,?,?,?,?,?,?,?,?,2,died
2,1,?,?,Q1,1,1,2,1,2,1,2,3,1,?,1,3,Q2,Q2,2,?,1,died
1,1,?,?,?,?,?,?,?,4,?,?,1,1,?,?,5,Q1,Q3,2,Q1,2,lived
1,1,Q3,Q1,Q2,?,?,?,1,?,?,?,?,?,?,?,?,Q2,Q3,?,?,2,lived
2,1,Q4,Q2,Q1,3,?,?,2,3,3,2,2,1,?,3,?,Q2,Q3,1,?,2,died
1,1,Q2,Q3,Q2,1,3,3,1,5,3,1,1,1,?,3,?,Q3,Q3,3,Q1,2,lived
1,1,Q4,Q3,?,1,1,5,2,3,3,2,2,2,?,4,4,Q3,Q3,?,?,1,lived
1,1,Q4,Q4,Q4,?,?,5,1,?,3,3,1,?,?,4,?,Q4,Q4,1,Q1,2,died
1,1,Q3,Q1,Q1,1,1,1,1,3,1,1,?,?,?,2,1,Q2,Q1,1,?,1,died
2,1,?,Q1,Q2,1,1,1,1,3,3,1,2,1,?,?,1,?,Q1,?,?,2,died
1,1,Q3,Q4,Q4,1,1,3,1,2,4,2,2,3,Q3,?,4,Q4,Q3,?,?,2,lived
1,1,?,Q3,Q2,?,?,?,2,5,?,4,3,1,?,?,5,?,?,?,?,2,lived
2,1,Q1,Q1,Q2,1,1,3,1,?,1,1,?,?,?,1,?,Q1,Q2,?,?,2,died
2,1,Q4,Q3,Q1,3,3,5,?,3,3,3,?,2,?,?,?,Q4,Q1,3,Q4,1,lived
1,1,Q3,Q4,Q4,3,3,3,1,2,4,3,1,3,Q1,?,?,Q4,Q4,3,Q1,2,lived
1,1,?,Q4,?,3,3,5,2,2,4,3,?,3,?,4,4,Q4,Q3,2,Q3,1,lived
2,1,?,?,?,3,4,6,?,4,?,4,?,?,?,?,?,?,?,?,?,1,lived
1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2,lived
1,1,Q3,Q2,Q3,1,1,3,1,3,3,1,2,1,?,3,2,Q3,Q4,?,?,2,lived
1,1,?,Q3,Q1,?,?,4,1,4,?,?,?,1,Q2,?,?,?,?,2,Q3,1,lived
1,1,?,Q2,Q3,3,3,4,2,5,4,4,1,1,?,4,?,Q3,Q4,3,Q1,2,lived
2,1,Q3,Q4,?,3,3,5,2,4,3,4,2,1,?,4,5,?,?,?,?,1,died
1,1,Q3,Q3,Q3,3,1,5,2,4,3,3,2,3,Q3,4,4,Q3,Q2,3,?,2,lived
