compactness,circularity,distance_circularity,radius_ratio,pr_axis_aspect_ratio,max_length_aspect_ratio,scatter_ratio,elongatedness,pr_axis_rectangularity,max_length_rectangularity,scaled_variance_major,scaled_variance_minor,scaled_radius_of_gyration,skewness_about_major,skewness_about_minor,kurtosis_about_major,kurtosis_about_minor,hollows_ratio,class
Q2,Q3,Q2,Q3,Q4,Q1,Q2,Q2,Q1,Q2,Q2,Q3,Q3,Q2,Q3,Q2,Q4,Q3,bus
Q2,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q4,Q4,van
Q2,Q1,Q3,Q3,Q2,Q3,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q1,Q2,Q3,Q4,Q4,saab
Q3,Q1,Q2,Q3,Q4,Q2,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q2,Q2,Q3,Q3,Q2,saab
Q2,Q2,Q1,Q3,Q4,Q4,Q2,Q3,Q1,Q2,Q3,Q2,Q2,Q4,Q1,Q2,Q2,Q1,bus
Q2,Q2,Q3,Q1,Q1,Q4,Q2,Q3,Q2,Q3,Q2,Q2,Q2,Q3,Q3,Q2,Q1,Q2,van
Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q2,Q1,Q1,Q1,Q4,Q4,Q3,Q1,Q1,van
Q2,Q2,Q1,Q2,Q2,Q2,Q1,Q3,Q1,Q2,Q1,Q1,Q2,Q2,Q3,Q2,Q4,Q4,bus
Q3,Q1,Q2,Q3,Q4,Q2,Q2,Q2,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q1,Q3,Q3,bus
Q4,Q4,Q4,Q3,Q1,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q1,Q2,Q3,saab
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q4,Q3,Q1,Q1,Q1,van
Q1,Q1,Q2,Q1,Q1,Q3,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q3,Q4,Q1,Q1,opel
Q2,Q1,Q3,Q3,Q3,Q2,Q3,Q2,Q3,Q1,Q3,Q3,Q2,Q2,Q4,Q3,Q3,Q2,saab
Q1,Q3,Q1,Q1,Q1,Q2,Q2,Q3,Q1,Q2,Q2,Q2,Q3,Q4,Q1,Q2,Q1,Q1,bus
Q4,Q3,Q3,Q4,Q3,Q3,Q4,Q1,Q3,Q3,Q3,Q4,Q3,Q1,Q4,Q4,Q3,Q4,saab
Q1,Q3,Q3,Q3,Q3,Q3,Q3,Q2,Q3,Q3,Q3,Q3,Q4,Q1,Q4,Q2,Q3,Q3,opel
Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q2,Q1,bus
Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q3,Q2,Q3,Q2,Q1,saab
Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q3,Q2,Q2,Q3,Q4,Q1,Q1,Q1,Q1,bus
Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q2,Q2,Q2,saab
Q4,Q4,Q3,Q3,Q1,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q2,Q1,Q2,Q2,opel
Q2,Q1,Q3,Q3,Q4,Q2,Q3,Q2,Q2,Q1,Q3,Q3,Q2,Q3,Q2,Q4,Q2,Q2,opel
Q4,Q4,Q3,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q3,Q2,Q2,Q4,Q2,Q3,saab
Q2,Q2,Q2,Q1,Q1,Q1,Q1,Q3,Q1,Q2,Q2,Q1,Q2,Q2,Q4,Q4,Q3,Q3,opel
Q3,Q3,Q3,Q3,Q4,Q3,Q3,Q2,Q2,Q3,Q2,Q3,Q3,Q2,Q2,Q3,Q2,Q2,van
Q2,Q2,Q3,Q1,Q1,Q3,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,van
Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q3,Q3,Q4,Q4,Q4,Q3,Q4,Q2,Q2,Q2,saab
Q2,Q2,Q3,Q2,Q3,Q3,Q1,Q3,Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q2,Q4,Q4,van
Q1,Q2,Q1,Q4,Q4,Q4,Q2,Q3,Q1,Q2,Q4,Q2,Q3,Q4,Q3,Q2,Q1,Q1,bus
Q4,Q4,Q4,Q3,Q1,Q1,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q2,Q2,Q1,Q1,bus
Q3,Q2,Q2,Q3,Q3,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q2,Q1,Q4,Q1,Q4,Q4,bus
Q2,Q2,Q1,Q2,Q3,Q3,Q1,Q4,Q1,Q2,Q1,Q1,Q2,Q1,Q2,Q1,Q3,Q4,van
Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q4,Q4,van
Q2,Q2,Q3,Q4,Q3,Q4,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q1,Q2,Q3,Q4,Q4,saab
Q1,Q1,Q1,Q2,Q2,Q3,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q4,Q4,van
Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q4,Q4,Q4,saab
Q2,Q3,Q2,Q3,Q4,Q1,Q2,Q2,Q1,Q3,Q3,Q2,Q3,Q2,Q2,Q2,Q3,Q2,bus
Q2,Q2,Q3,Q2,Q2,Q3,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q2,Q2,van
Q3,Q3,Q2,Q4,Q4,Q1,Q3,Q2,Q3,Q3,Q3,Q3,Q4,Q2,Q2,Q1,Q4,Q3,bus
Q3,Q4,Q4,Q4,Q3,Q3,Q4,Q1,Q3,Q4,Q4,Q4,Q4,Q3,Q2,Q1,Q2,Q2,opel
Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q3,Q1,Q1,van
Q3,Q2,Q2,Q4,Q4,Q1,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q2,Q2,Q2,Q4,Q3,bus
Q4,Q4,Q4,Q3,Q2,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q2,Q2,Q2,Q2,saab
Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q2,Q1,Q2,Q2,opel
Q1,Q3,Q2,Q2,Q3,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q3,Q3,Q1,Q1,Q2,Q2,bus
Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q3,Q1,Q1,Q1,van
Q3,Q2,Q1,Q3,Q4,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q3,Q2,Q3,Q1,Q4,Q4,bus
Q1,Q1,Q1,Q2,Q2,Q1,Q1,Q3,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q3,Q3,bus
Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q3,Q4,Q4,Q4,Q4,Q2,Q1,Q2,Q3,Q3,saab
Q1,Q3,Q2,Q2,Q3,Q3,Q2,Q3,Q1,Q3,Q2,Q2,Q3,Q2,Q1,Q1,Q2,Q3,van
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q2,Q1,Q1,Q1,saab
Q4,Q4,Q3,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q4,Q2,Q3,saab
Q4,Q3,Q3,Q3,Q3,Q1,Q3,Q1,Q3,Q2,Q3,Q3,Q2,Q4,Q2,Q2,Q4,Q2,bus
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q1,Q1,Q2,Q1,Q2,Q4,Q3,Q4,Q1,Q1,saab
Q2,Q2,Q3,Q2,Q3,Q4,Q2,Q2,Q1,Q3,Q2,Q2,Q3,Q2,Q2,Q2,Q2,Q2,van
Q2,Q2,Q2,Q2,Q2,Q2,Q1,Q4,Q1,Q2,Q1,Q1,Q2,Q1,Q4,Q2,Q4,Q4,saab
Q2,Q1,Q1,Q2,Q2,Q1,Q1,Q3,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q3,Q4,Q4,opel
Q4,Q3,Q4,Q4,Q4,Q3,Q4,Q1,Q4,Q3,Q4,Q4,Q4,Q2,Q2,Q4,Q3,Q4,opel
Q1,Q1,Q3,Q3,Q2,Q2,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q1,Q1,Q4,Q4,Q4,opel
Q3,Q3,Q3,Q3,Q4,Q3,Q2,Q2,Q2,Q3,Q2,Q2,Q3,Q1,Q4,Q2,Q3,Q3,van
Q1,Q2,Q2,Q1,Q1,Q1,Q2,Q3,Q1,Q3,Q2,Q2,Q3,Q4,Q1,Q1,Q1,Q1,bus
Q2,Q3,Q3,Q4,Q4,Q4,Q2,Q3,Q1,Q3,Q4,Q2,Q4,Q4,Q1,Q3,Q2,Q2,van
Q4,Q4,Q3,Q3,Q1,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q1,Q2,Q2,Q2,saab
Q1,Q3,Q1,Q3,Q4,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q3,Q3,Q3,Q1,Q1,Q1,bus
Q3,Q3,Q4,Q4,Q4,Q3,Q4,Q1,Q3,Q3,Q4,Q4,Q4,Q3,Q2,Q2,Q2,Q2,opel
Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q3,Q3,Q1,Q1,van
Q3,Q3,Q3,Q1,Q1,Q4,Q3,Q2,Q2,Q4,Q2,Q3,Q3,Q3,Q2,Q1,Q1,Q2,van
Q2,Q1,Q2,Q3,Q3,Q2,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q1,Q2,Q2,Q3,Q2,saab
Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q1,Q3,Q4,saab
Q2,Q3,Q3,Q2,Q2,Q4,Q3,Q2,Q2,Q4,Q3,Q3,Q3,Q4,Q1,Q1,Q1,Q2,van
Q2,Q2,Q1,Q1,Q1,Q2,Q1,Q4,Q1,Q2,Q1,Q1,Q2,Q2,Q1,Q2,Q3,Q2,van
Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q1,Q3,Q4,Q2,Q3,Q1,Q1,bus
Q2,Q3,Q3,Q2,Q3,Q4,Q2,Q3,Q2,Q4,Q2,Q2,Q3,Q4,Q2,Q3,Q1,Q2,van
Q2,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q2,Q3,Q3,Q3,Q3,Q1,Q1,Q2,Q4,Q4,saab
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,saab
Q2,Q1,Q2,Q3,Q4,Q1,Q2,Q2,Q1,Q1,Q3,Q2,Q1,Q2,Q2,Q4,Q3,Q2,saab
Q3,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q2,Q2,Q2,opel
Q4,Q2,Q1,Q3,Q4,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q2,Q1,Q3,Q2,Q4,Q4,bus
Q4,Q4,Q4,Q3,Q1,Q1,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q2,Q4,Q1,Q1,bus
Q3,Q1,Q1,Q2,Q2,Q2,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q1,Q4,Q4,van
Q3,Q2,Q3,Q3,Q3,Q3,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q1,Q2,Q2,Q3,Q3,saab
Q2,Q3,Q3,Q1,Q1,Q4,Q2,Q3,Q2,Q4,Q2,Q2,Q3,Q3,Q2,Q2,Q1,Q2,van
Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q1,Q1,Q1,Q3,Q3,opel
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q3,Q3,Q2,Q1,Q1,van
Q4,Q4,Q3,Q4,Q3,Q3,Q3,Q2,Q3,Q4,Q3,Q3,Q3,Q1,Q2,Q1,Q4,Q4,opel
Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q4,Q4,Q1,Q1,opel
Q3,Q1,Q1,Q1,Q1,Q2,Q1,Q4,Q1,Q2,Q1,Q1,Q1,Q4,Q4,Q3,Q1,Q1,van
Q1,Q2,Q1,Q2,Q4,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q4,Q2,Q1,Q1,Q1,bus
Q2,Q3,Q3,Q4,Q4,Q1,Q3,Q2,Q3,Q2,Q3,Q3,Q3,Q2,Q1,Q1,Q4,Q2,bus
Q2,Q2,Q2,Q2,Q1,Q1,Q1,Q3,Q1,Q1,Q2,Q1,Q2,Q4,Q4,Q1,Q1,Q1,opel
Q1,Q2,Q1,Q1,Q1,Q2,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q4,Q2,Q3,Q1,Q1,bus
Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q2,Q3,Q2,Q2,opel
Q1,Q2,Q2,Q2,Q4,Q3,Q1,Q3,Q1,Q3,Q2,Q1,Q2,Q2,Q1,Q2,Q3,Q3,van
Q3,Q3,Q3,Q4,Q4,Q1,Q3,Q2,Q3,Q3,Q3,Q3,Q4,Q3,Q2,Q2,Q4,Q2,bus
Q3,Q4,Q3,Q2,Q1,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q2,Q2,Q2,Q2,opel
Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q4,Q4,Q2,Q3,opel
Q2,Q1,Q3,Q3,Q3,Q2,Q3,Q2,Q3,Q1,Q3,Q3,Q2,Q1,Q2,Q4,Q3,Q3,opel
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q3,Q1,Q1,opel
Q2,Q2,Q3,Q2,Q2,Q4,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q2,Q4,Q4,Q2,Q3,van
Q4,Q4,Q4,Q4,Q3,Q3,Q3,Q2,Q3,Q4,Q3,Q3,Q4,Q2,Q2,Q1,Q3,Q3,opel
Q2,Q1,Q3,Q3,Q2,Q2,Q3,Q2,Q3,Q1,Q3,Q3,Q2,Q2,Q1,Q2,Q2,Q2,saab
Q1,Q1,Q1,Q1,Q3,Q1,Q2,Q3,Q1,Q1,Q1,Q2,Q2,Q4,Q1,Q1,Q1,Q1,saab
Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q3,Q2,bus
Q2,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q3,Q2,Q2,Q3,Q4,Q2,Q1,Q1,Q1,bus
Q1,Q3,Q2,Q2,Q4,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q3,Q3,Q1,Q1,Q2,Q1,bus
Q3,Q4,Q3,Q4,Q3,Q1,Q4,Q1,Q4,Q3,Q4,Q4,Q4,Q4,Q2,Q2,Q3,Q1,bus
Q3,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q2,van
Q1,Q1,Q2,Q1,Q1,Q1,Q2,Q4,Q1,Q1,Q2,Q1,Q1,Q4,Q3,Q4,Q1,Q2,opel
Q2,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q1,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q3,Q2,bus
Q4,Q4,Q4,Q3,Q1,Q1,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q1,Q1,bus
Q2,Q2,Q3,Q1,Q2,Q3,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q2,Q3,van
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Q2,Q1,van
Q2,Q2,Q3,Q4,Q4,Q1,Q3,Q2,Q2,Q2,Q3,Q3,Q2,Q2,Q2,Q3,Q4,Q3,bus
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q3,Q1,Q1,Q1,opel
Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q2,Q2,Q2,Q3,saab
Q3,Q1,Q3,Q2,Q1,Q3,Q3,Q2,Q2,Q1,Q3,Q3,Q2,Q2,Q3,Q3,Q3,Q2,opel
Q4,Q4,Q4,Q3,Q2,Q3,Q3,Q1,Q3,Q3,Q4,Q3,Q4,Q2,Q4,Q2,Q3,Q3,saab
Q3,Q3,Q3,Q2,Q3,Q3,Q2,Q2,Q2,Q4,Q2,Q2,Q3,Q3,Q2,Q3,Q1,Q2,van
Q3,Q1,Q1,Q3,Q4,Q1,Q2,Q2,Q1,Q1,Q3,Q3,Q1,Q2,Q2,Q4,Q4,Q4,bus
Q4,Q3,Q3,Q3,Q2,Q4,Q3,Q2,Q3,Q3,Q3,Q3,Q3,Q1,Q2,Q4,Q4,Q4,saab
Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q3,Q1,Q3,Q2,saab
Q2,Q1,Q3,Q2,Q2,Q2,Q3,Q2,Q2,Q1,Q3,Q3,Q2,Q2,Q2,Q2,Q2,Q2,saab
Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q3,Q4,Q2,Q2,Q1,Q1,bus
Q3,Q1,Q1,Q2,Q3,Q2,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q4,Q3,van
Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q4,Q4,Q3,Q4,saab
Q3,Q2,Q1,Q2,Q2,Q1,Q2,Q2,Q1,Q2,Q2,Q2,Q3,Q1,Q4,Q2,Q3,Q3,saab
Q3,Q3,Q3,Q3,Q4,Q3,Q2,Q3,Q1,Q3,Q1,Q2,Q3,Q1,Q3,Q2,Q3,Q3,van
Q2,Q3,Q2,Q1,Q1,Q4,Q3,Q2,Q2,Q4,Q2,Q3,Q3,Q4,Q1,Q2,Q1,Q2,van
Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q3,Q4,Q4,Q4,Q4,Q2,Q3,Q3,Q3,Q2,opel
Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q4,Q2,Q3,saab
Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q2,Q1,Q2,Q3,saab
Q3,Q4,Q4,Q4,Q3,Q3,Q4,Q1,Q3,Q4,Q4,Q4,Q4,Q2,Q1,Q2,Q3,Q3,opel
Q2,Q3,Q3,Q3,Q2,Q2,Q3,Q2,Q2,Q3,Q3,Q3,Q2,Q1,Q3,Q2,Q4,Q4,opel
Q1,Q1,Q1,Q1,Q3,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q1,opel
Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q4,Q2,Q1,Q1,Q1,bus
Q2,Q1,Q1,Q1,Q2,Q2,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q3,Q3,Q1,Q3,Q2,van
Q4,Q4,Q4,Q3,Q1,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q4,Q3,Q3,Q3,saab
Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q2,Q2,saab
Q3,Q4,Q3,Q4,Q3,Q1,Q4,Q1,Q3,Q3,Q4,Q4,Q4,Q3,Q2,Q2,Q3,Q2,bus
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q4,Q4,van
Q3,Q4,Q4,Q3,Q1,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q4,Q2,Q3,opel
Q1,Q1,Q2,Q1,Q1,Q2,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q2,Q3,Q4,Q1,Q2,opel
Q2,Q1,Q2,Q2,Q2,Q1,Q1,Q3,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Q2,Q2,opel
Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q2,Q2,Q2,opel
Q1,Q2,Q1,Q1,Q1,Q2,Q2,Q3,Q1,Q3,Q2,Q2,Q3,Q4,Q1,Q2,Q1,Q1,bus
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q4,Q1,Q2,opel
Q1,Q2,Q2,Q1,Q3,Q2,Q2,Q3,Q1,Q2,Q2,Q2,Q3,Q4,Q1,Q2,Q1,Q1,bus
Q2,Q2,Q2,Q2,Q1,Q2,Q1,Q3,Q1,Q2,Q1,Q1,Q3,Q1,Q4,Q1,Q4,Q3,saab
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q4,Q4,Q2,Q1,Q1,van
Q2,Q4,Q3,Q3,Q3,Q1,Q3,Q2,Q3,Q3,Q3,Q3,Q4,Q2,Q1,Q2,Q3,Q2,opel
Q2,Q1,Q3,Q3,Q2,Q2,Q3,Q2,Q3,Q1,Q3,Q3,Q2,Q2,Q1,Q3,Q2,Q2,opel
Q2,Q2,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q2,Q1,Q1,Q2,Q1,Q3,Q1,Q3,Q3,van
Q3,Q2,Q3,Q2,Q1,Q1,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q3,Q1,Q2,Q4,Q2,bus
Q2,Q1,Q1,Q2,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q2,Q1,Q3,Q2,Q4,Q4,saab
Q3,Q3,Q2,Q4,Q4,Q1,Q3,Q2,Q2,Q3,Q3,Q3,Q3,Q2,Q4,Q2,Q4,Q4,bus
Q2,Q1,Q2,Q2,Q4,Q2,Q1,Q4,Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q2,Q4,Q4,van
Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q3,Q4,Q3,Q3,Q3,opel
Q2,Q1,Q3,Q3,Q3,Q1,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q1,Q3,Q4,Q4,Q4,saab
Q2,Q1,Q2,Q3,Q3,Q1,Q3,Q2,Q3,Q2,Q3,Q3,Q2,Q1,Q1,Q4,Q3,Q3,opel
Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q2,Q2,Q4,Q2,Q3,saab
Q1,Q1,Q1,Q2,Q2,Q1,Q1,Q4,Q1,Q2,Q1,Q1,Q1,Q1,Q1,Q4,Q4,Q4,van
Q1,Q1,Q1,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q2,Q4,Q4,van
Q1,Q1,Q2,Q1,Q1,Q3,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q2,Q3,opel
Q1,Q2,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q2,Q2,Q2,Q4,Q1,Q3,Q1,Q1,bus
Q4,Q4,Q4,Q3,Q2,Q3,Q4,Q1,Q4,Q4,Q3,Q4,Q4,Q2,Q4,Q4,Q2,Q2,opel
Q2,Q3,Q3,Q1,Q1,Q4,Q3,Q2,Q2,Q4,Q2,Q3,Q3,Q3,Q1,Q2,Q1,Q2,van
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q2,Q2,Q1,Q1,opel
Q2,Q1,Q2,Q3,Q4,Q1,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q2,Q1,Q3,Q4,Q4,bus
Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q4,Q1,Q4,Q1,Q1,saab
Q2,Q1,Q1,Q2,Q1,Q1,Q1,Q4,Q1,Q1,Q1,Q1,Q1,Q1,Q3,Q4,Q4,Q4,opel
