alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,class
Q4,Q2,Q3,Q1,Q4,Q3,Q4,Q2,Q4,Q3,Q3,Q4,Q4,class_1
Q3,Q2,Q1,Q1,Q3,Q3,Q3,Q1,Q2,Q2,Q3,Q4,Q4,class_1
Q3,Q3,Q4,Q2,Q3,Q3,Q4,Q2,Q4,Q3,Q3,Q3,Q4,class_1
Q4,Q3,Q3,Q1,Q4,Q4,Q4,Q1,Q4,Q4,Q2,Q4,Q4,class_1
Q3,Q3,Q4,Q3,Q4,Q3,Q3,Q3,Q3,Q2,Q3,Q3,Q3,class_1
Q4,Q2,Q3,Q1,Q4,Q4,Q4,Q2,Q4,Q4,Q3,Q3,Q4,class_1
Q4,Q2,Q3,Q1,Q2,Q3,Q3,Q2,Q4,Q3,Q3,Q4,Q4,class_1
Q4,Q3,Q4,Q2,Q4,Q3,Q3,Q2,Q1,Q3,Q3,Q4,Q4,class_1
Q4,Q2,Q1,Q1,Q2,Q3,Q4,Q2,Q4,Q3,Q3,Q3,Q4,class_1
Q4,Q1,Q2,Q1,Q2,Q4,Q4,Q1,Q3,Q4,Q3,Q4,Q4,class_1
Q4,Q3,Q2,Q2,Q3,Q4,Q4,Q1,Q4,Q3,Q4,Q3,Q4,class_1
Q4,Q1,Q2,Q1,Q2,Q2,Q3,Q1,Q3,Q3,Q4,Q3,Q4,class_1
Q4,Q2,Q3,Q1,Q2,Q3,Q3,Q2,Q3,Q3,Q4,Q3,Q4,class_1
Q4,Q2,Q3,Q1,Q2,Q4,Q4,Q3,Q4,Q3,Q4,Q2,Q4,class_1
Q4,Q2,Q3,Q1,Q3,Q4,Q4,Q2,Q4,Q4,Q4,Q3,Q4,class_1
Q3,Q2,Q4,Q1,Q4,Q4,Q4,Q2,Q2,Q4,Q4,Q3,Q4,class_1
Q4,Q3,Q4,Q3,Q4,Q3,Q4,Q2,Q4,Q3,Q3,Q2,Q4,class_1
Q4,Q1,Q4,Q3,Q4,Q4,Q4,Q3,Q3,Q4,Q4,Q2,Q4,class_1
Q4,Q1,Q3,Q1,Q4,Q4,Q4,Q2,Q3,Q4,Q4,Q3,Q4,class_1
Q3,Q3,Q3,Q1,Q4,Q3,Q4,Q1,Q3,Q3,Q2,Q4,Q3,class_1
Q4,Q2,Q2,Q1,Q4,Q4,Q4,Q1,Q4,Q3,Q3,Q4,Q3,class_1
Q2,Q4,Q4,Q2,Q3,Q3,Q3,Q1,Q4,Q2,Q3,Q4,Q3,class_1
Q4,Q2,Q2,Q1,Q3,Q3,Q3,Q1,Q3,Q2,Q3,Q4,Q4,class_1
Q2,Q1,Q3,Q2,Q2,Q3,Q3,Q1,Q2,Q2,Q3,Q4,Q4,class_1
Q3,Q2,Q4,Q3,Q2,Q3,Q3,Q2,Q3,Q2,Q3,Q4,Q3,class_1
Q2,Q3,Q4,Q4,Q4,Q3,Q3,Q4,Q3,Q2,Q4,Q4,Q3,class_1
Q3,Q2,Q4,Q1,Q2,Q4,Q4,Q2,Q2,Q3,Q2,Q4,Q4,class_1
Q3,Q2,Q1,Q1,Q2,Q3,Q3,Q1,Q2,Q2,Q3,Q2,Q4,class_1
Q4,Q3,Q4,Q2,Q3,Q4,Q4,Q3,Q3,Q2,Q4,Q4,Q3,class_1
Q4,Q2,Q1,Q1,Q2,Q3,Q3,Q1,Q4,Q2,Q3,Q4,Q4,class_1
Q4,Q1,Q4,Q4,Q3,Q4,Q4,Q2,Q4,Q3,Q4,Q2,Q4,class_1
Q3,Q2,Q2,Q2,Q3,Q4,Q4,Q1,Q3,Q4,Q3,Q3,Q4,class_1
Q3,Q2,Q2,Q1,Q3,Q3,Q3,Q3,Q4,Q2,Q4,Q3,Q4,class_1
Q4,Q1,Q4,Q2,Q4,Q4,Q3,Q4,Q2,Q3,Q4,Q3,Q4,class_1
Q3,Q2,Q4,Q2,Q4,Q2,Q3,Q2,Q2,Q2,Q3,Q3,Q4,class_1
Q3,Q2,Q3,Q3,Q3,Q3,Q4,Q1,Q3,Q3,Q3,Q4,Q3,class_1
Q3,Q2,Q4,Q1,Q4,Q3,Q3,Q2,Q2,Q2,Q3,Q2,Q3,class_1
Q2,Q2,Q3,Q2,Q2,Q3,Q3,Q2,Q2,Q2,Q3,Q2,Q4,class_1
Q3,Q1,Q1,Q1,Q2,Q3,Q3,Q2,Q2,Q2,Q4,Q2,Q4,class_1
Q4,Q4,Q3,Q1,Q4,Q4,Q4,Q1,Q4,Q3,Q2,Q4,Q3,class_1
Q3,Q2,Q2,Q1,Q4,Q4,Q4,Q2,Q4,Q3,Q2,Q4,Q3,class_1
Q3,Q4,Q1,Q2,Q2,Q3,Q3,Q1,Q2,Q2,Q2,Q3,Q4,class_1
Q4,Q3,Q4,Q1,Q3,Q4,Q4,Q1,Q3,Q3,Q2,Q4,Q4,class_1
Q3,Q4,Q2,Q2,Q3,Q3,Q3,Q2,Q3,Q2,Q2,Q3,Q3,class_1
Q2,Q2,Q1,Q1,Q3,Q4,Q4,Q2,Q4,Q3,Q2,Q4,Q3,class_1
Q4,Q4,Q3,Q2,Q4,Q4,Q3,Q2,Q1,Q3,Q2,Q4,Q4,class_1
Q4,Q4,Q2,Q1,Q3,Q4,Q4,Q1,Q4,Q3,Q3,Q4,Q4,class_1
Q4,Q2,Q1,Q1,Q3,Q4,Q4,Q1,Q4,Q3,Q2,Q4,Q3,class_1
Q4,Q3,Q3,Q2,Q3,Q3,Q4,Q2,Q4,Q3,Q3,Q2,Q4,class_1
Q4,Q2,Q2,Q2,Q4,Q4,Q4,Q2,Q4,Q4,Q3,Q3,Q4,class_1
Q2,Q2,Q1,Q1,Q2,Q3,Q4,Q1,Q4,Q4,Q3,Q3,Q4,class_1
Q4,Q2,Q4,Q1,Q2,Q3,Q4,Q1,Q4,Q3,Q4,Q4,Q4,class_1
Q4,Q2,Q3,Q1,Q4,Q4,Q4,Q2,Q3,Q4,Q3,Q4,Q4,class_1
Q4,Q3,Q4,Q1,Q4,Q4,Q3,Q3,Q3,Q4,Q4,Q3,Q4,class_1
Q4,Q2,Q2,Q1,Q4,Q3,Q4,Q1,Q3,Q3,Q2,Q4,Q4,class_1
Q3,Q2,Q3,Q3,Q4,Q4,Q3,Q1,Q4,Q4,Q3,Q3,Q4,class_1
Q4,Q2,Q2,Q1,Q4,Q4,Q4,Q1,Q4,Q4,Q2,Q4,Q3,class_1
Q3,Q3,Q4,Q1,Q3,Q4,Q4,Q2,Q3,Q3,Q3,Q3,Q4,class_1
Q4,Q1,Q3,Q1,Q4,Q4,Q4,Q1,Q4,Q4,Q2,Q3,Q4,class_1
Q2,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Q1,Q1,Q3,Q1,Q2,class_2
Q1,Q1,Q2,Q1,Q3,Q2,Q1,Q4,Q1,Q2,Q4,Q1,Q3,class_2
Q2,Q1,Q1,Q1,Q3,Q2,Q2,Q4,Q1,Q3,Q3,Q1,Q1,class_2
Q3,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q1,Q2,Q4,Q2,Q2,class_2
Q2,Q1,Q1,Q2,Q1,Q4,Q4,Q1,Q3,Q2,Q4,Q3,Q1,class_2
Q1,Q1,Q3,Q2,Q3,Q2,Q2,Q4,Q1,Q1,Q4,Q2,Q1,class_2
Q2,Q1,Q3,Q2,Q2,Q3,Q3,Q3,Q4,Q2,Q4,Q2,Q3,class_2
Q3,Q1,Q1,Q1,Q1,Q4,Q4,Q1,Q4,Q3,Q3,Q4,Q2,class_2
Q2,Q1,Q1,Q3,Q1,Q2,Q2,Q1,Q1,Q2,Q3,Q4,Q2,class_2
Q3,Q1,Q2,Q1,Q4,Q3,Q2,Q4,Q1,Q1,Q3,Q1,Q3,class_2
Q1,Q1,Q1,Q1,Q4,Q2,Q2,Q1,Q4,Q1,Q4,Q3,Q3,class_2
Q1,Q2,Q1,Q3,Q3,Q1,Q1,Q3,Q2,Q1,Q2,Q1,Q3,class_2
Q4,Q1,Q4,Q4,Q1,Q4,Q3,Q1,Q3,Q2,Q4,Q3,Q1,class_2
Q3,Q2,Q2,Q4,Q1,Q2,Q2,Q1,Q1,Q2,Q3,Q2,Q1,class_2
Q2,Q2,Q4,Q4,Q4,Q4,Q4,Q1,Q4,Q2,Q4,Q4,Q3,class_2
Q1,Q1,Q2,Q3,Q3,Q4,Q2,Q1,Q3,Q1,Q3,Q3,Q3,class_2
Q1,Q3,Q1,Q1,Q2,Q1,Q2,Q2,Q1,Q2,Q4,Q2,Q1,class_2
Q2,Q1,Q1,Q1,Q1,Q2,Q2,Q1,Q2,Q2,Q4,Q2,Q1,class_2
Q1,Q3,Q2,Q2,Q4,Q1,Q2,Q3,Q1,Q1,Q2,Q2,Q1,class_2
Q1,Q1,Q1,Q1,Q4,Q2,Q2,Q3,Q4,Q2,Q3,Q2,Q3,class_2
Q2,Q4,Q3,Q4,Q3,Q4,Q3,Q3,Q3,Q1,Q4,Q3,Q1,class_2
Q1,Q1,Q1,Q2,Q1,Q3,Q3,Q2,Q2,Q1,Q4,Q3,Q1,class_2
Q2,Q2,Q1,Q2,Q1,Q2,Q3,Q1,Q3,Q2,Q4,Q3,Q3,class_2
Q1,Q1,Q3,Q4,Q1,Q2,Q2,Q3,Q2,Q1,Q4,Q2,Q2,class_2
Q2,Q4,Q2,Q4,Q1,Q1,Q2,Q4,Q3,Q3,Q2,Q2,Q2,class_2
Q1,Q1,Q4,Q2,Q2,Q2,Q3,Q1,Q4,Q1,Q2,Q3,Q2,class_2
Q2,Q1,Q2,Q2,Q3,Q2,Q2,Q2,Q2,Q1,Q4,Q3,Q1,class_2
Q1,Q2,Q2,Q4,Q2,Q2,Q2,Q3,Q2,Q1,Q4,Q2,Q1,class_2
Q1,Q2,Q4,Q4,Q1,Q2,Q2,Q3,Q2,Q1,Q4,Q4,Q2,class_2
Q1,Q3,Q3,Q4,Q1,Q2,Q2,Q4,Q2,Q1,Q3,Q2,Q3,class_2
Q1,Q1,Q2,Q4,Q1,Q2,Q2,Q3,Q2,Q1,Q3,Q4,Q2,class_2
Q1,Q2,Q2,Q2,Q1,Q1,Q2,Q4,Q3,Q1,Q3,Q2,Q1,class_2
Q1,Q1,Q3,Q4,Q1,Q1,Q2,Q4,Q3,Q2,Q3,Q2,Q1,class_2
Q2,Q1,Q2,Q3,Q1,Q1,Q2,Q4,Q3,Q1,Q2,Q2,Q1,class_2
Q1,Q3,Q2,Q2,Q1,Q3,Q3,Q1,Q4,Q1,Q4,Q4,Q1,class_2
Q1,Q3,Q2,Q2,Q2,Q4,Q3,Q1,Q2,Q2,Q4,Q3,Q1,class_2
Q2,Q1,Q1,Q2,Q4,Q3,Q3,Q2,Q4,Q1,Q4,Q2,Q3,class_2
Q1,Q3,Q4,Q3,Q4,Q1,Q1,Q1,Q2,Q1,Q2,Q2,Q2,class_2
Q1,Q1,Q1,Q1,Q1,Q3,Q3,Q2,Q3,Q1,Q4,Q2,Q1,class_2
Q2,Q1,Q1,Q2,Q1,Q4,Q4,Q1,Q3,Q2,Q3,Q2,Q2,class_2
Q1,Q4,Q1,Q2,Q1,Q4,Q4,Q4,Q4,Q1,Q4,Q3,Q1,class_2
Q1,Q3,Q1,Q2,Q2,Q2,Q3,Q1,Q2,Q2,Q4,Q3,Q3,class_2
Q2,Q1,Q1,Q2,Q1,Q1,Q2,Q2,Q2,Q1,Q3,Q2,Q2,class_2
Q1,Q3,Q3,Q3,Q2,Q3,Q2,Q2,Q2,Q1,Q2,Q4,Q1,class_2
Q1,Q2,Q1,Q2,Q1,Q3,Q2,Q3,Q2,Q1,Q2,Q2,Q1,class_2
Q2,Q2,Q1,Q3,Q1,Q2,Q2,Q2,Q2,Q1,Q3,Q4,Q2,class_2
Q2,Q3,Q2,Q4,Q2,Q1,Q2,Q4,Q2,Q1,Q2,Q4,Q1,class_2
Q1,Q2,Q1,Q2,Q1,Q1,Q2,Q3,Q3,Q2,Q3,Q3,Q2,class_2
Q2,Q2,Q2,Q4,Q1,Q1,Q2,Q4,Q3,Q2,Q2,Q2,Q1,class_2
Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q3,Q4,Q1,Q2,Q3,Q1,class_2
Q1,Q1,Q4,Q3,Q2,Q3,Q4,Q2,Q4,Q1,Q2,Q4,Q3,class_2
Q1,Q4,Q1,Q2,Q3,Q4,Q3,Q1,Q4,Q1,Q1,Q3,Q2,class_2
Q2,Q3,Q1,Q3,Q1,Q3,Q3,Q1,Q1,Q1,Q2,Q2,Q1,class_2
Q1,Q3,Q4,Q3,Q3,Q2,Q2,Q4,Q1,Q2,Q4,Q2,Q2,class_2
Q1,Q1,Q3,Q3,Q1,Q3,Q2,Q3,Q2,Q1,Q3,Q2,Q1,class_2
Q1,Q1,Q3,Q4,Q1,Q3,Q3,Q3,Q1,Q1,Q2,Q4,Q1,class_2
Q1,Q1,Q1,Q3,Q1,Q3,Q3,Q4,Q4,Q1,Q4,Q3,Q1,class_2
Q1,Q1,Q1,Q3,Q1,Q2,Q2,Q2,Q2,Q1,Q2,Q4,Q1,class_2
Q2,Q2,Q1,Q4,Q4,Q2,Q2,Q2,Q3,Q1,Q3,Q3,Q1,class_2
Q2,Q4,Q1,Q1,Q1,Q1,Q2,Q3,Q1,Q2,Q1,Q2,Q1,class_2
Q1,Q4,Q1,Q2,Q1,Q2,Q2,Q3,Q3,Q1,Q2,Q3,Q2,class_2
Q1,Q3,Q3,Q3,Q2,Q4,Q3,Q2,Q3,Q2,Q2,Q4,Q2,class_2
Q1,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q2,Q4,Q1,class_2
Q2,Q4,Q4,Q4,Q3,Q2,Q2,Q3,Q3,Q1,Q2,Q3,Q1,class_2
Q2,Q4,Q1,Q3,Q1,Q3,Q3,Q2,Q4,Q1,Q1,Q3,Q1,class_2
Q1,Q4,Q3,Q3,Q1,Q4,Q4,Q1,Q4,Q1,Q1,Q4,Q1,class_2
Q1,Q3,Q1,Q3,Q1,Q3,Q3,Q3,Q2,Q1,Q2,Q4,Q1,class_2
Q2,Q1,Q2,Q3,Q1,Q3,Q4,Q3,Q3,Q2,Q1,Q3,Q1,class_2
Q1,Q3,Q4,Q4,Q2,Q2,Q3,Q4,Q3,Q1,Q2,Q2,Q1,class_2
Q2,Q2,Q2,Q4,Q1,Q2,Q3,Q3,Q3,Q1,Q2,Q2,Q1,class_2
Q1,Q4,Q3,Q4,Q1,Q2,Q2,Q3,Q2,Q1,Q2,Q2,Q2,class_2
Q2,Q1,Q2,Q2,Q4,Q1,Q2,Q1,Q1,Q2,Q1,Q1,Q2,class_3
Q2,Q3,Q3,Q3,Q3,Q1,Q2,Q1,Q1,Q3,Q1,Q1,Q2,class_3
Q2,Q3,Q3,Q4,Q2,Q1,Q1,Q1,Q1,Q3,Q1,Q1,Q2,class_3
Q2,Q4,Q2,Q3,Q3,Q1,Q1,Q1,Q1,Q3,Q1,Q1,Q2,class_3
Q2,Q1,Q2,Q2,Q1,Q2,Q1,Q4,Q1,Q3,Q1,Q1,Q2,class_3
Q2,Q3,Q1,Q2,Q2,Q1,Q1,Q4,Q1,Q4,Q1,Q1,Q3,class_3
Q1,Q4,Q3,Q3,Q2,Q1,Q1,Q4,Q1,Q2,Q1,Q1,Q3,class_3
Q2,Q4,Q4,Q4,Q2,Q2,Q1,Q4,Q1,Q3,Q2,Q1,Q2,class_3
Q3,Q4,Q1,Q2,Q1,Q1,Q1,Q4,Q1,Q3,Q2,Q1,Q2,class_3
Q2,Q3,Q4,Q4,Q3,Q2,Q1,Q4,Q1,Q3,Q2,Q2,Q2,class_3
Q2,Q3,Q4,Q3,Q2,Q1,Q1,Q4,Q1,Q2,Q1,Q2,Q2,class_3
Q3,Q3,Q2,Q3,Q2,Q1,Q1,Q3,Q1,Q3,Q1,Q2,Q3,class_3
Q3,Q4,Q4,Q4,Q2,Q1,Q1,Q4,Q1,Q2,Q2,Q2,Q2,class_3
Q3,Q4,Q2,Q3,Q2,Q2,Q1,Q4,Q1,Q2,Q2,Q2,Q2,class_3
Q1,Q4,Q1,Q2,Q4,Q1,Q1,Q2,Q1,Q4,Q1,Q2,Q3,class_3
Q3,Q4,Q1,Q3,Q3,Q1,Q1,Q3,Q2,Q2,Q1,Q1,Q3,class_3
Q4,Q4,Q2,Q3,Q1,Q1,Q1,Q3,Q1,Q3,Q1,Q1,Q1,class_3
Q2,Q4,Q3,Q3,Q1,Q1,Q1,Q4,Q1,Q4,Q1,Q1,Q2,class_3
Q3,Q4,Q3,Q3,Q2,Q2,Q1,Q4,Q1,Q4,Q1,Q1,Q2,class_3
Q3,Q4,Q2,Q3,Q4,Q1,Q2,Q2,Q1,Q4,Q1,Q1,Q2,class_3
Q3,Q4,Q4,Q4,Q4,Q1,Q2,Q1,Q1,Q4,Q1,Q1,Q1,class_3
Q2,Q3,Q3,Q4,Q4,Q1,Q2,Q1,Q2,Q4,Q1,Q1,Q1,class_3
Q3,Q3,Q4,Q4,Q4,Q2,Q2,Q1,Q2,Q4,Q1,Q1,Q1,class_3
Q3,Q4,Q2,Q2,Q2,Q2,Q1,Q4,Q3,Q4,Q1,Q1,Q2,class_3
Q2,Q1,Q1,Q3,Q3,Q1,Q1,Q4,Q2,Q4,Q1,Q1,Q2,class_3
Q3,Q4,Q2,Q4,Q2,Q1,Q1,Q4,Q2,Q4,Q1,Q1,Q3,class_3
Q4,Q4,Q3,Q2,Q2,Q2,Q1,Q4,Q2,Q4,Q1,Q1,Q1,class_3
Q2,Q3,Q4,Q4,Q2,Q2,Q1,Q4,Q1,Q4,Q1,Q1,Q3,class_3
Q4,Q2,Q4,Q4,Q2,Q3,Q2,Q4,Q4,Q4,Q1,Q2,Q2,class_3
Q3,Q2,Q4,Q4,Q2,Q3,Q1,Q4,Q4,Q4,Q1,Q1,Q2,class_3
Q1,Q4,Q3,Q3,Q1,Q2,Q1,Q4,Q1,Q4,Q1,Q1,Q2,class_3
Q4,Q4,Q3,Q3,Q3,Q2,Q1,Q4,Q1,Q3,Q2,Q1,Q3,class_3
Q2,Q4,Q4,Q4,Q3,Q1,Q1,Q4,Q1,Q3,Q2,Q2,Q2,class_3
Q2,Q4,Q2,Q2,Q3,Q1,Q1,Q3,Q1,Q3,Q1,Q1,Q2,class_3
Q4,Q3,Q2,Q4,Q2,Q1,Q1,Q3,Q1,Q4,Q1,Q1,Q2,class_3
Q4,Q4,Q2,Q4,Q1,Q1,Q1,Q4,Q1,Q4,Q1,Q1,Q2,class_3
Q3,Q4,Q4,Q4,Q4,Q1,Q1,Q3,Q2,Q4,Q2,Q1,Q3,class_3
Q2,Q4,Q2,Q2,Q1,Q1,Q1,Q3,Q1,Q4,Q1,Q1,Q3,class_3
Q3,Q3,Q4,Q4,Q3,Q1,Q1,Q3,Q2,Q4,Q1,Q1,Q3,class_3
Q3,Q4,Q4,Q4,Q4,Q2,Q1,Q1,Q1,Q4,Q1,Q1,Q2,class_3
Q1,Q3,Q2,Q2,Q2,Q1,Q1,Q3,Q1,Q3,Q1,Q1,Q2,class_3
Q2,Q3,Q2,Q2,Q1,Q1,Q1,Q4,Q1,Q4,Q1,Q1,Q1,class_3
Q4,Q3,Q3,Q3,Q2,Q1,Q1,Q3,Q1,Q4,Q1,Q1,Q2,class_3
Q4,Q4,Q3,Q3,Q2,Q1,Q1,Q4,Q1,Q4,Q1,Q1,Q3,class_3
Q3,Q4,Q3,Q4,Q3,Q2,Q1,Q3,Q2,Q4,Q1,Q1,Q3,class_3
Q3,Q4,Q2,Q3,Q4,Q1,Q1,Q3,Q2,Q4,Q1,Q1,Q3,class_3
Q3,Q3,Q3,Q3,Q4,Q1,Q1,Q4,Q2,Q4,Q1,Q1,Q3,class_3
Q4,Q4,Q4,Q4,Q2,Q2,Q1,Q4,Q2,Q4,Q1,Q1,Q2,class_3
